procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 4125568  46676 692048    0    0  3614   618  673  951 12 27 45 15  0
 1  0      0 4045928  46676 792656    0    0   292     0  761  773 15  3 82  0  0
 1  0      0 4011156  46676 792984    0    0   188     0 1881 2094 15  4 82  0  0
 1  0      0 3995568  46676 793020    0    0     0     0 1709 1562 17  3 80  0  0
 1  0      0 3972784  46692 793540    0    0    20   440 2057 1856  6  5 89  0  0
 1  0      0 4000536  46700 797144    0    0     8  4276 1992 1767  4  3 94  0  0
 2  0      0 3977528  46700 797212    0    0     0     0 1551  861 15  3 82  0  0
 1  0      0 3976016  46708 797244    0    0     0   112  977  329 17  1 83  0  0
 1  0      0 3978160  46728 799536    0    0  2288 13040 2524  947 20  2 78  1  0
 1  0      0 3978204  46728 799584    0    0     0     0  869  372 17  0 83  0  0
 1  0      0 3978212  46728 799584    0    0     0     0  761  286 17  0 83  0  0
 0  1      0 3953124  47808 807788    0    0  6928   660 2114 2466 10  4 85  1  0
 1  0      0 3899268  48352 829820    0    0 13644 11368 6618 9863  5  6 84  5  0
 3  0      0 3913072  48880 840632    0    0  1732 18884 4548 4219  7  6 83  4  0
 1  0      0 3912852  49016 844344    0    0  1768  1820 10696 6006  8 11 79  1  0
 2  0      0 3908168  49708 847812    0    0  2840   820 10439 5075 10 11 77  2  0
 1  0      0 3896060  50272 859084    0    0  5248     0 4252 6703  4 10 84  2  0
 1  0      0 3883156  51008 870856    0    0  5696     0 4287 6822  3 10 84  2  0
 1  0      0 3842572  51676 911124    0    0 19644 17496 3699 4905  2 13 83  2  0
 1  0      0 3798320  52152 955472    0    0 22008     0 3095 3434  1 15 81  2  0
 1  0      0 3756844  52436 996000    0    0 19508  3364 3159 3685  2 14 81  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3734628  52664 1017524    0    0 10496     0 3612 5234  3 13 83  2  0
 1  0      0 3708128  52992 1043892    0    0 11220     0 4589 5789  3 14 81  2  0
 1  0      0 3684548  53036 1062864    0    0  5024  2876 4909 6855  4 14 81  1  0
 2  0      0 3680884  53204 1073636    0    0   156  2400 1862 1963 13  5 82  0  0
 1  0      0 3671876  53204 1083032    0    0     0     0 2123 2392 17  2 82  0  0
 1  0      0 3664532  53204 1090540    0    0     0     0 1989 2073 16  2 82  0  0
 1  0      0 3661136  53204 1097732    0    0     0     0 1884 2025 15  3 82  0  0
 1  0      0 3769204  53252 990952    0    0    72 142548 2029 1662 14  6 80  1  0
 1  0      0 3694452  53276 1039400    0    0     0  1676 1272 1022 14  3 83  0  0
 2  0      0 3716220  53276 1039464    0    0     0     4 1034  808 16  1 83  0  0
 0  1      0 3672960  53656 1039852    0    0    48  2576 1525 1586 11  4 82  4  0
 1  0      0 3688152  55312 1051712    0    0   908 22456 7455 12629 10 10 75  5  0
 5  0      0 3685412  55580 1053076    0    0     4  3148 5773 4061  6  6 86  2  0
 2  0      0 3682584  55656 1054120    0    0     0  2524 12454 5363 14 12 74  1  0
 0  1      0 3681356  55656 1056068    0    0   676   332 12256 4853 10 13 76  1  0
 0  1      0 3684700  55704 1055392    0    0   280  1860 12166 4763 12 13 75  1  0
 1  0      0 3595064  55976 1101036    0    0   212  5784 1438 1372  3 12 82  2  0
 1  0      0 3587888  55976 1108460    0    0     0     0  986  903 14  4 83  0  0
 1  0      0 3673540  55976 1058064    0    0     0     4  808  747 16  2 82  0  0
 0  0      0 3819096  55976 1000944    0    0   124     0  820  697  6  1 92  0  0
 0  0      0 3819120  55976 1000808    0    0     0     0  252  327  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3819120  55976 1000808    0    0     0     0  214  279  0  0 100  0  0
